headline,source,intro,date,datetime
"Bank of England cuts rates, Fed holds: our economics roundup",The World Economic Forum,"Top economy stories: Bank of England cuts rates, Fed holds steady; Eurozone economy grows; Bank of Japan increases rates.",5 Aug 2024,2024-08-05
Global stock markets are sliding as Japan suffers biggest fall since 1987,Business Insider,"Japan's main stock-market index closed 12.4% lower Monday, and Wall Street opened sharply lower, with tech stocks taking a battering.",5 Aug 2024,2024-08-05
Japan's stock market crash: What happened and why is it dragging the ASX 200 lower,Market Index,"Japan's Nikkei 225 plummets following the Bank of Japan's interest rate hike, triggering a global selloff in risk assets, including cryptocurrencies and US...",5 Aug 2024,2024-08-05
"Bank of England cuts rates, Fed holds: our economics roundup",The World Economic Forum,"Top economy stories: Bank of England cuts rates, Fed holds steady; Eurozone economy grows; Bank of Japan increases rates.",5 Aug 2024,2024-08-05
Global stock markets are sliding as Japan suffers biggest fall since 1987,Business Insider,"Japan's main stock-market index closed 12.4% lower Monday, and Wall Street opened sharply lower, with tech stocks taking a battering.",5 Aug 2024,2024-08-05
Why rate hike by Japan rattled global markets: Explained,Upstox,The Bank of Japan hiked interest rates for the first time in 15 years. The hike in interest rates was introduced to support the weak Japanese yen.,5 Aug 2024,2024-08-05
Australia's 'Goldilocks scenario' is over with a $100 billion fall. It's hard to tell what happens now,Australian Broadcasting Corporation,"Australian stocks have closed down 3.7 per cent on Monday, wiping more than $100 billion from the stock market. That's the biggest fall since the pandemic...",4 Aug 2024,2024-08-04
Japan stocks plunge by nearly 6% in biggest drop since start of pandemic,CNN,Japanese stocks plunged Friday as global markets were rattled by worries about the US economy and as traders braced for further interest rate hikes from the...,2 Aug 2024,2024-08-02
Why Japanese stocks just had their worst day in 4 years,markets.businessinsider.com,"Japan's stocks took a hit on Friday, fueled by economic concerns in the US and the Bank of Japan's interest-rate hike earlier this week.",2 Aug 2024,2024-08-02
BOJ Governor Ueda: Interest rates still at 'very low level',朝日新聞,Bank of Japan Governor Kazuo Ueda said he believes the BOJ's decision on July 31 to hike interest rates to around 0.25 percent will not have a major negative...,1 Aug 2024,2024-08-01
Yen soars to strongest since March after Japan raises interest rates,The Straits Times,The yen surged to the strongest since March versus the US dollar on July 31 after the Bank of Japan (BOJ) raised interest rates and announced plans to cut bond...,1 Aug 2024,2024-08-01
Japanese stocks fall as investors fear effects of stronger yen,Financial Times,Bank of Japan's interest rate increase catches Tokyo market by surprise.,1 Aug 2024,2024-08-01
Japan’s ultra-low mortgages to see first increase in 17 years,The Business Times,"The Bank of Japan's second interest-rate hike in nearly two decades is set to impact millions of personal mortgages, raising borrowing costs for homebuyers.",1 Aug 2024,2024-08-01
"Editorial: Bank of Japan, gov't must minimize rising interest rates' impact on lives",毎日新聞,"On July 31, the BOJ decided to raise its policy interest rate from the previous range of 0-0.1% to around 0.25% at its monetary policy meeting. This marks the...",1 Aug 2024,2024-08-01
"Japan’s neutral interest rate is rising, but not by much",Oxford Economics,"Japan's neutral interest rate is rising, but not by much. We estimate that Japan's nominal neutral interest rate – the rate consistent with monetary policy that...",1 Aug 2024,2024-08-01
Institutional investors ‘pleasantly surprised’ by Japan’s interest-rate hike to 0.25%,Pensions & Investments,Investors 'pleasantly surprised' by Japan's interest-rate hike to 0.25% ... The interest rate hike by the Bank of Japan to 0.25% from a range of zero to 0.1% came...,1 Aug 2024,2024-08-01
Japan’s Central Bank Hints At More Rate Hikes As Food Costs Climb,Finimize,The Bank of Japan is laying the groundwork for interest rate increases as persistent food inflation reshapes price expectations and signals a shift in...,2 days ago,2025-08-15
"Bank of Japan holds rates steady, open to future hike - as it happened",Reuters,The Bank of Japan kept policy rate at 0.5% and said it can resume hikes if economy and inflation meet expectations.,2 days ago,2025-08-15
The Bank of Japan acknowledged 'robust inflation' and is preparing for a potential interest rate hike.,富途牛牛,"TheBank of Japan (BoJ) has 'turned hawkish,' with the door now open for a rate hike in October. In its latest interest rate decision, the BoJ maintained the...",2 days ago,2025-08-15
Bank of Japan holds interest rate as inflation projections rise,bne IntelliNews,"The Bank of Japan (BoJ) has decided to maintain its benchmark interest rate at 0.5%, a move that was largely anticipated by markets, according to ...",2 days ago,2025-08-15
Bank of Japan keeps policy interest rate unchanged,巴士的報,The Bank of Japan (BOJ) said on Thursday that it will leave the policy interest rate unchanged at ar.,2 days ago,2025-08-15
"Japan’s Akazawa urges caution on interest rates, calls for US tariff relief",FXStreet,Japanese Economy Minister Ryosei Akazawa said on Friday that the government acknowledges the Bank of Japan's (BoJ) decision to hold interest rates steady at...,2 days ago,2025-08-15
"Interest Rate News: Japan Holds Rates, Markets Stay Cautious",Coin Gabbar,"According to a recent report of Reuters, the Bank of Japan (BOJ) has decided to keep its benchmark interest rate steady at around 0.5% which aligns with the...",3 days ago,2025-08-14
"Bank of Japan keeps its main interest rate unchanged, but announces further hikes",Voz Media,"By maintaining its main interest rate at 0.5%, the Bank of Japan advanced that it expects growth of 0.6% this year, higher than previously forecast.",3 days ago,2025-08-14
"Bank of Japan holds rates, flags trade 'uncertainties'",RTE.ie,"The Bank of Japan kept its main interest rate unchanged today, hiking its inflation and growth forecasts while also flagging ""high uncertainties"" from US...",3 days ago,2025-08-14
"Bank of Japan holds rates, but raises inflation forecasts",Sharecast.com,"The Bank of Japan held its benchmark interest rate at 0.5% on Thursday, while raising its inflation forecasts more than expected, in a sign it could be...",3 days ago,2025-08-14
The Bank of Japan (BOJ) unanimously held interest rates at 0.5% as expected,Mitrade,"Japan's central bank, BOJ, unanimously voted to hold interest rates at 0.5% as expected, and revised its inflation projection from 2.2% to 2.7%.",3 days ago,2025-08-14
Bank of Japan raises inflation forecasts as food prices bite,AFR,"The country's central bank keeps interest rates on hold, but fuels speculation its monetary tightening cycle will resume this year.",3 days ago,2025-08-14
Bank of Japan raising inflation forecasts will be 'a signal' for future rate hikes: Economist,MSN,"Stefan Angrick of Moody's Analytics says the Bank of Japan is in a difficult position as the economy looks to be in stagflation, and domestic politics are...",3 days ago,2025-08-14
"Bank of Japan holds policy rate unchanged, warns 'high uncertainties' remain on US tariff impact",Anadolu Ajansı,"Central bank less pessimistic about tariff outlook after Japan-US tariff deal, while still warning 'high uncertainties' remain - Anadolu Ajansı.",3 days ago,2025-08-14
BoJ Governor Ueda addresses press conference after maintaining interest rate,FXStreet,"Bank of Japan (BoJ) Governor Kazuo Ueda is speaking at a press conference, explaining the reasons behind leaving the key interest rate unchanged at 0.5% on...",3 days ago,2025-08-14
"BOJ turns less gloomy on economy, keeps rate-hike chance alive",Reuters,"The Bank of Japan revised up its inflation forecasts and offered a less gloomy outlook on the economy than three months ago, keeping alive the possibility...",3 days ago,2025-08-14
"Asia markets mostly fall, China slumps on weak data, Japan climbs after BOJ holds rates",MSN,"Asia shares mostly in red on Thursday, China's market led declines after the release of weak factory activity data, signaling economic headwinds.",3 days ago,2025-08-14
"Bank of Japan holds rates steady at 0.5%, as expected",Seeking Alpha,"The Bank of Japan ((BOJ)) unanimously decided to keep its benchmark short-term interest rate at 0.5% in its July meeting. This move, widely anticipated by...",3 days ago,2025-08-14
"The Bank of Japan kept interest rates unchanged but showed its 'hawkish fangs,' leading the yen to rebound from a nearly four-month low.",富途牛牛,TheBank of Japan (BoJ) made a notable decision at its latest monetary policy meeting on Thursday (July 31): it maintained the policy interest rate unchanged...,3 days ago,2025-08-14
"BOJ keeps interest rate steady, raises inflation forecast",Nikkei Asia,"TOKYO -- The Bank of Japan on Thursday kept its key interest rate unchanged and revised its inflation outlook upward, signaling a cautious monetary po.",3 days ago,2025-08-14
"BOJ keeps interest rate steady, raises inflation forecast",Nikkei Asia,"TOKYO -- The Bank of Japan on Thursday kept its key interest rate unchanged and revised its inflation outlook upward, signaling a cautious monetary po.",3 days ago,2025-08-14
BOJ keeps benchmark interest rate unchanged at policy meeting,毎日新聞,TOKYO (Kyodo) -- The Bank of Japan on Thursday raised its inflation projection for the current fiscal year from April as food prices continue to surge.,3 days ago,2025-08-14
"Bank of Japan offers cautiously upbeat view, keeps rates steady",The Business Times,"[TOKYO] The Bank of Japan kept interest rates steady on Thursday and offered a cautiously optimistic view on the economic outlook, after Tokyo's trade deal...",3 days ago,2025-08-14
